ID	data	wallCenter	wallRight	wallUp	wallFront	x	y	z	size	frameTitle	parent	uniqueCode
1	./Images/秋田県立近代美術館/1.jpg	-46.71774,28.656,64.72665	0.4954586,0,0.8686316	0,1,0	-0.8686316,0,0.4954586	-0.3974789	-1.845	0.2	6	Wooden_thin2	1:1	2
3	./Images/秋田県立近代美術館/2.jpg	-0.1536689,28.656,97.12584	0.9917833,0,0.1279306	0,1,0	-0.1279306,0,0.9917833	-0.381386	-1.845	0.2	6	Wooden_thin2	2:3	4
4	./Images/秋田県立近代美術館/3.jpg	78,52.5,60	0,0,-1	0,1,0	1,0,0	-21.78735	-25.5	0.2	1	WoodenBlack	-1:-1	5
5	./Images/秋田県立近代美術館/4.jpg	78,52.5,60	0,0,-1	0,1,0	1,0,0	14.2801	-25.3425	0.2	1	Wooden_thin2	-1:-1	6
6	./Images/秋田県立近代美術館/5.jpg	78,52.5,60	0,0,-1	0,1,0	1,0,0	29.80564	-25.311	0.2	1	Wooden_thin2	-1:-1	7
7	./Images/秋田県立近代美術館/6.jpg	78,52.5,60	0,0,-1	0,1,0	1,0,0	45.65504	-25.4685	0.2	1	Wooden_thin2	-1:-1	8
8	./Images/秋田県立近代美術館/0.jpg	47.5,52.5,0.5	-1,0,0	0,1,0	0,0,-1	4.559671	-21.9405	0.2	5	Wooden_thin2	-1:-1	9
9	./Images/秋田県立近代美術館/画像1.png	47.5,52.5,0.5	-1,0,0	0,1,0	0,0,-1	6.477944	-39.51747	0.2	5	none(caption)	-1:-1	10
10	./Images/秋田県立近代美術館/秋田県立近代美術館.jpg	-47.5,52.5,0.5	-1,0,0	0,1,0	0,0,-1	-8.385281	-25.5	0.2	2	none(caption)	-1:-1	11
12	./Images/秋田県立近代美術館/画像2.png	78,52.5,60	0,0,-1	0,1,0	1,0,0	20.17644	-41.47047	0.2	2	none(caption)	-1:-1	13
13	./Images/秋田県立近代美術館/画像3.png	78,52.5,60	0,0,-1	0,1,0	1,0,0	-15.68462	-31.8945	0.2	2	none(caption)	-1:-1	14
14	./Images/秋田県立近代美術館/画像4.png	0,52.5,118.5	1,0,0	0,1,0	0,0,1	48.16234	-25.5	0.2	3	none(caption)	-1:-1	15
