id	next	previous	captioning	pos	angle	audio	launchAngle
1	2	-1		-33.38914,10.91843,20.19846	-0.1201375,0,-0.9927572		-7.799957
2	3	1		6.97694,8.911654,13.34636	-0.5424388,0,0.8400953		0.30004
3	4	2		-14.11824,9.264448,38.35909	-0.8358054,0,0.5490258		-0.8999634
4	5	3		1.357396,8.221227,48.44353	-0.2053434,0,0.97869		2.700039
5	6	4		46.12548,8.604447,93.0715	0.0340312,0,0.9994208		1.350039
6	7	5		27.7871,8.058005,72.52203	0.9964932,0,0.08367389		3.30004
7	8	6		62.49121,8.262822,84.02033	0.9997807,0,-0.02094495		2.550038
8	9	7		35.48431,8.262822,35.28682	0.9997807,0,-0.02094495		2.550038
9	10	8		53.70514,8.262822,46.22025	0.9997807,0,-0.02094495		2.550038
10	11	9		53.4399,8.262822,33.55994	0.9997807,0,-0.02094495		2.550038
11	12	10		53.10506,8.262822,17.5782	0.9997807,0,-0.02094495		2.550038
12	-1	11		28.58421,9.568092,38.13617	0.3608043,0,-0.9326416		-1.949951
