ID	data	wallCenter	wallRight	wallUp	wallFront	x	y	z	size	frameTitle	parent	uniqueCode
2	./Images/地中美術館/0.jpg	37.5,30,0.5	-1,0,0	0,1,0	0,0,-1	2.575116	-2.842499	0.2	4	none(caption)	-1:-1	4
3	./Images/地中美術館/1.jpg	-37.5,30,0.5	-1,0,0	0,1,0	0,0,-1	13.18549	-3.976501	0.2	4	none(caption)	-1:-1	5
6	./Images/地中美術館/2.jpg	0.1718324,28.656,107.1907	-1,0,0	0,1,0	0,0,1	-14.83489	-1.656	0.2	1	Wooden_thin2	2:1	8
7	./Images/地中美術館/3.jpg	0.1718324,28.656,107.1907	-1,0,0	0,1,0	0,0,1	14.04249	-1.656	0.2	1	Wooden_thin2	2:1	9
8	./Images/地中美術館/4.jpg	47.79998,28.656,55.81995	0,0,1	0,1,0	1,0,0	-0.6075379	-2.5695	0.2	4	Wooden_thin2	1:3	10
10	./Images/地中美術館/7.jpg	-58.5,30,60	0,0,1	0,1,0	-1,0,0	32.30436	-2.9055	0.2	2	Metal	-1:-1	12
13	./Images/地中美術館/5.jpg	-49.85155,31.84,34.69338	0,0,1	0,1,0	-1,0,0	-6.994212	-4.808498	0.2	1	WoodenWhite	4:1	16
14	./Images/地中美術館/6.jpg	-49.85155,31.84,34.69338	0,0,1	0,1,0	-1,0,0	7.281246	-4.839998	0.2	1	WoodenWhite	4:1	17
15	./Images/地中美術館/画像1.png	-58.5,30,60	0,0,1	0,1,0	-1,0,0	5.507527	-3	0.2	2	none(caption)	-1:-1	18
16	./Images/地中美術館/地中美術館.jpg	-37.5,30,0.5	-1,0,0	0,1,0	0,0,-1	-14.85664	-3	0.2	1	Wooden_thin2	-1:-1	19
