id	next	previous	captioning	pos	angle	audio	launchAngle
1	2	-1		-4.712529,8.431896,34.58541	-0.6553994,0,-0.7552825		1.949993
2	3	1		-18.43054,9.778767,13.84386	-0.09671362,0,-0.9953123		-2.700012
3	4	2		-36.0001,9.525257,27.64828	-0.1976562,0,-0.9802716		-1.800018
4	5	3		-8.180626,8.431896,43.89713	-0.9764838,0,-0.2155911		1.949993
5	6	4		-27.23514,8.304714,32.58817	-0.9999965,0,0		2.399991
6	7	5		-32.64045,8.304714,62.53654	-0.9999965,0,0		2.399991
7	8	6		-32.70852,8.304714,88.51641	-0.9999965,0,0		2.399991
8	9	7		-16.27468,8.474751,78.46307	-0.2739632,0,0.9617402		1.799991
9	10	8		-14.50639,8.474751,82.43026	0,0,0.9999966		1.79999
10	11	9		12.12152,8.474751,82.36063	0,0,0.9999966		1.79999
11	12	10		-5.158364,9.220539,44.3615	0.8256056,0,0.5642477		-0.75
12	-1	11		11.85301,8.779465,60.10781	0.9992291,0,-0.03925872		0.7499902
