id	next	previous	captioning	pos	angle	audio	launchAngle
1	2	-1		-3.215411,7.939364,0.8718478	-0.3899272,0,0.9208457		3.75E+00
2	3	1		-31.69268,8.498369,18.47339	-0.998585,0,0.05317891		1.717627
3	4	2		4.388736,8.180353,38.08994	-0.8756519,0,0.4829429		2.848499
4	5	3		-10.4429,8.599577,60.76032	0.09127929,0,0.9958254		1.366839
5	6	4		18.93896,8.134383,67.02548	-0.1644064,0,0.9863927		3.016839
6	7	5		7.200475,8.643126,50.2978	0.9989004,0,-0.04688251		1.216839
7	8	6		33.00182,8.643126,74.41908	0.9989004,0,-0.04688251		1.216839
8	9	7		32.32484,7.151266,61.11054	0.9996631,0,-0.02595353		7.366841
9	10	8		24.96322,7.857996,35.31007	0.9995136,0,-0.03118765		4.066841
10	11	9		24.21542,7.151266,11.34424	0.9995136,0,-0.03118765		7.366843
11	-1	10		-21.30441,9.259529,1.264254	0.4491203,0,0.8934714		-0.8831482
