ID	data	wallCenter	wallRight	wallUp	wallFront	x	y	z	size	frameTitle	parent	uniqueCode
1	./Images/ひろしま美術館/3.jpg	-68.25,30,60	0,0,1	0,1,0	-1,0,0	-9.516652	-3.756001	0.2	2	Metal	-1:-1	0
4	./Images/ひろしま美術館/6.jpg	0,30,118.5	1,0,0	0,1,0	0,0,1	23.20831	-3.441001	0.2	2	MetalGold	-1:-1	3
5	./Images/ひろしま美術館/7.jpg	68.25,30,60	0,0,-1	0,1,0	1,0,0	-10.57901	-3	0.2	1	Metal_Vertical	-1:-1	4
6	./Images/ひろしま美術館/5.jpg	0,30,118.5	1,0,0	0,1,0	0,0,1	-30.19082	-3.252001	0.2	1.5	MetalGold	-1:-1	5
7	./Images/ひろしま美術館/ひろしま美術館.jpg	-42.5,30,0.5	-1,0,0	0,1,0	0,0,-1	-5.719357	-4.322999	0.2	2	Wooden_thin2	-1:-1	6
8	./Images/ひろしま美術館/1.JPG	42.5,30,0.5	-1,0,0	0,1,0	0,0,-1	2.516385	-2.842502	0.2	5	none(caption)	-1:-1	7
9	./Images/ひろしま美術館/画像5.png	42.5,30,0.5	-1,0,0	0,1,0	0,0,-1	11.8251	-20.64001	0.2	4	none(caption)	-1:-1	8
10	./Images/ひろしま美術館/画像1.png	-68.25,30,60	0,0,1	0,1,0	-1,0,0	17.09483	-3	0.2	2	none(caption)	-1:-1	9
11	./Images/ひろしま美術館/画像2.png	0,30,118.5	1,0,0	0,1,0	0,0,1	-9.128937	-3.063001	0.2	2	none(caption)	-1:-1	10
13	./Images/ひろしま美術館/画像3.png	68.25,30,60	0,0,-1	0,1,0	1,0,0	15.64967	-3.441001	0.2	2	none(caption)	-1:-1	12
14	./Images/ひろしま美術館/画像4.png	0,30,118.5	1,0,0	0,1,0	0,0,1	47.73652	-3.252	0.2	2	none(caption)	-1:-1	13
