id	next	previous	captioning	pos	angle	audio	launchAngle
1	2	-1		-4.999207,7.615725,37.17774	-0.9986296,0,-0.05233574		5.062521
2	3	1		-13.47541,8.028023,37.63947	-0.9268574,0,-0.3754134		3.412522
3	4	2		-36.13,9.661049,19.36715	0,0,-0.9999928		-2.278076
4	5	3		-42.35883,7.988369,42.85072	-0.993961,0,0.1097345		3.562521
5	6	4		-50.93502,8.149172,48.69452	-0.9999692,0,0		2.962521
6	7	5		-51.13893,8.149172,74.65807	-0.9999692,0,0		2.962521
7	8	6		-21.88449,8.273271,92.72489	-0.1925222,0,0.9812926		2.512521
8	9	7		-31.70408,8.028024,105.1239	0.0235595,0,0.9997224		3.412521
9	10	8		-13.05777,8.028024,104.6845	0.0235595,0,0.9997224		3.412521
10	11	9		29.00283,8.028024,81.03323	0.0235595,0,0.9997224		3.412521
11	12	10		22.18561,8.028024,102.5205	0.0235595,0,0.9997224		3.412521
12	13	11		43.50794,8.028024,102.018	0.0235595,0,0.9997224		3.412521
13	14	12		25.89735,8.028024,69.43693	0.9971193,0,-0.07584882		3.41252
14	15	13		52.46559,8.615331,70.19512	0.9997224,0,0.02355945		1.31252
15	-1	14		53.0463,8.615331,45.55446	0.9997224,0,0.02355945		1.31252

