id	type	x	y	z	theta	gyokaku	range	spotAngle	intensity	color
4	spot	-60	88.5	123.4998	32.48626	194.1272	100	25.70213	3.6	1,1,1,1
5	spot	-60	88.5	147.3933	41.18793	273.0304	100	40	3.6	1,1,1,1
6	spot	0	88.5	158.9213	31.90615	271.778	100	33.36169	3.6	1,1,1,1
8	spot	60	88.5	154.187	37.12714	261.7585	100	29.2766	3.6	1,1,1,1
9	spot	60	88.5	144.3357	29.58569	0	100	40	4.961702	1,1,1,1
10	spot	60	88.5	93.5396	28.42547	0	100	32.34044	5.4156	1,1,1,1
11	spot	60	88.5	44.7179	31.32603	0	100	25.45766	4.553191	1,1,1,1
13	spot	-60	88.5	84.3133	32.48625	182.8552	120	20.86191	3.6	1,1,1,1
14	spot	60	88.5	53.09719	43.50838	101.4471	98	78.80852	1.512059	1,1,1,1
15	spot	-60	88.5	50.73287	31.32603	86.41789	179	54.29786	2.646809	1,1,1,1
16	spot	-30	88.5	31.89794	42.34816	185.3601	209	40	1.330497	1,1,1,1
