ID	data	wallCenter	wallRight	wallUp	wallFront	x	y	z	size	frameTitle	parent	uniqueCode
1	./Images/北海道立近代美術館/北海道立近代美術館.jpg	-57.5,45,0.5	-1,0,0	0,1,0	0,0,-1	-1.376221	-21.87449	0.2	2	Wooden_thin2	-1:-1	0
3	./Images/北海道立近代美術館/Resized/0.jpg	-97.5,45,100	0,0,1	0,1,0	-1,0,0	-14.55076	-17.496	0.2	1.3	MetalGold	-1:-1	2
4	./Images/北海道立近代美術館/Resized/1.jpg	-97.5,45,100	0,0,1	0,1,0	-1,0,0	-66.03199	-17.9685	0.2	1	Metal_Vertical	-1:-1	2
5	./Images/北海道立近代美術館/Resized/2.jpg	-97.5,45,100	0,0,1	0,1,0	-1,0,0	30.12033	-17.9685	0.2	1	Metal	-1:-1	3
7	./Images/北海道立近代美術館/Resized/4.jpg	0,45,197.5	1,0,0	0,1,0	0,0,1	-0.5629584	-18.0315	0.2	1	Metal_Vertical2	-1:-1	5
8	./Images/北海道立近代美術館/Resized/3.jpg	0,45,197.5	1,0,0	0,1,0	0,0,1	-58.0028	-18	0.2	2	MetalGold	-1:-1	6
9	./Images/北海道立近代美術館/Resized/5.jpg	0,45,197.5	1,0,0	0,1,0	0,0,1	50.80927	-18.504	0.2	1	Wooden_thin2	-1:-1	7
10	./Images/北海道立近代美術館/Resized/6.jpg	97.5,45,100	0,0,-1	0,1,0	1,0,0	-48.23059	-18	0.2	1	Metal_Vertical	-1:-1	8
12	./Images/北海道立近代美術館/Resized/7.jpg	97.5,45,100	0,0,-1	0,1,0	1,0,0	4.900392	-18.0315	0.2	1	Metal_Vertical2	-1:-1	10
13	./Images/北海道立近代美術館/Resized/8.jpg	97.5,45,100	0,0,-1	0,1,0	1,0,0	53.0936	-18	0.2	1	Metal_Vertical2	-1:-1	11
15	./Images/北海道立近代美術館/画像0.png	-97.5,45,100	0,0,1	0,1,0	-1,0,0	-11.14535	-23.66999	0.2	1	none(caption)	-1:-1	13
16	./Images/北海道立近代美術館/画像1.png	-97.5,45,100	0,0,1	0,1,0	-1,0,0	-44.97771	-18.504	0.2	2	none(caption)	-1:-1	14
17	./Images/北海道立近代美術館/画像2.png	-97.5,45,100	0,0,1	0,1,0	-1,0,0	41.79502	-18.0315	0.2	1	none(caption)	-1:-1	15
18	./Images/北海道立近代美術館/画像3.png	0,45,197.5	1,0,0	0,1,0	0,0,1	-39.1056	-17.874	0.2	1.3	none(caption)	-1:-1	16
19	./Images/北海道立近代美術館/画像4.png	0,45,197.5	1,0,0	0,1,0	0,0,1	11.7225	-18	0.2	1	none(caption)	-1:-1	17
20	./Images/北海道立近代美術館/画像5.png	0,45,197.5	1,0,0	0,1,0	0,0,1	62.35805	-18	0.2	1	none(caption)	-1:-1	18
21	./Images/北海道立近代美術館/画像6.png	97.5,45,100	0,0,-1	0,1,0	1,0,0	-33.71976	-18	0.2	1	none(caption)	-1:-1	19
22	./Images/北海道立近代美術館/画像7.png	97.5,45,100	0,0,-1	0,1,0	1,0,0	17.47212	-18	0.2	1	none(caption)	-1:-1	20
23	./Images/北海道立近代美術館/画像8.png	97.5,45,100	0,0,-1	0,1,0	1,0,0	64.82216	-18	0.2	1	none(caption)	-1:-1	21
24	./Images/北海道立近代美術館/9.JPG	57.5,45,0.5	-1,0,0	0,1,0	0,0,-1	4.265028	-7.668002	0.2	8	none(caption)	-1:-1	22
25	./Images/北海道立近代美術館/画像.png	57.5,45,0.5	-1,0,0	0,1,0	0,0,-1	-20.57728	-40.36497	0.2	3	none(caption)	-1:-1	1
