id	next	previous	captioning	pos	angle	audio	launchAngle
1	2	-1		-5.640326,10.3947,108.6317	0.2230125,0,-0.9748157		-5.107513
2	3	1		-20.32947,9.655264,51.50372	-0.3973703,0,-0.9176583		-2.257538
3	4	2		-54.94947,9.502085,16.92179	-0.02953013,0,-0.9995639		-1.719208
4	5	3		-44.60015,6.761053,31.27621	-0.9535275,0,-0.3013061		11.24248
5	6	4		-73.51326,8.519969,37.52585	-0.9997755,0,0.02118528		1.642478
6	7	5		-84.28858,8.519969,31.75614	-0.9997755,0,0.02118528		1.642478
7	8	6		-83.9075,8.519969,49.73881	-0.9997755,0,0.02118528		1.642478
8	9	7		-68.54537,8.519969,82.74697	-0.9997755,0,0.02118528		1.642478
9	10	8		-82.52714,8.519969,83.04327	-0.9997755,0,0.02118528		1.642478
10	11	9		-61.65953,8.519969,125.2486	-0.9997755,0,0.02118528		1.642478
11	12	10		-82.13572,8.519969,133.0092	-0.9997755,0,0.02118528		1.642478
12	13	11		-62.84185,7.442152,132.6003	-0.1665293,0,0.9860365		5.842479
13	14	12		-57.29924,8.264926,169.3743	0.04211831,0,0.9991126		2.542478
14	15	13		-41.49232,8.264926,180.7075	0.04211831,0,0.9991126		2.542478
15	16	14		1.224471,9.00222,163.6316	0,0,0.999985		-0.007537842
16	17	15		1.334743,8.563221,180.2603	0.01595015,0,0.9998728		1.492477
17	18	16		50.28411,8.563221,159.4515	0.01595015,0,0.9998728		1.492477
18	19	17		49.98664,8.619441,182.7962	0.02156961,0,0.9997674		1.298356
19	20	18		57.8905,8.018081,143.7499	0.9418456,0,0.336046		3.449998
20	21	19		80.72775,8.561048,150.2655	0.9999672,0,0		1.499997
21	22	20		64.97697,8.561048,96.42666	0.9999672,0,0		1.499997
22	23	21		83.60896,8.561048,96.27584	0.9999672,0,0		1.499997
23	24	22		64.56818,8.561048,46.47952	0.9999672,0,0		1.499997
24	25	23		85.88444,8.561048,46.97776	0.9999672,0,0		1.499997
25	-1	24		44.98433,10.91844,65.53441	0.3654648,0,-0.9308252		-7.800018

