ID	data	wallCenter	wallRight	wallUp	wallFront	x	y	z	size	frameTitle	parent	uniqueCode
1	./Images/茨城県近代美術館/0.jpg	-97.5,52.5,60	0,0,1	0,1,0	-1,0,0	-11.25847	-25.5	0.2	1	Metal_Vertical	-1:-1	0
2	./Images/茨城県近代美術館/画像4.png	-97.5,52.5,60	0,0,1	0,1,0	-1,0,0	6.376107	-25.34248	0.2	1.5	none(caption)	-1:-1	1
4	./Images/茨城県近代美術館/画像3.png	0,52.5,118.5	1,0,0	0,1,0	0,0,1	-33.10464	-26.004	0.2	1.5	none(caption)	-1:-1	3
5	./Images/茨城県近代美術館/3.jpg	0,52.5,118.5	1,0,0	0,1,0	0,0,1	19.04096	-25.9725	0.2	1	Metal_Vertical2	-1:-1	4
6	./Images/茨城県近代美術館/2.jpg	0,52.5,118.5	1,0,0	0,1,0	0,0,1	-51.30684	-26.13	0.2	1.5	MetalGold	-1:-1	5
7	./Images/茨城県近代美術館/画像3.png	0,52.5,118.5	1,0,0	0,1,0	0,0,1	35.9411	-25.8465	0.2	1.5	none(caption)	-1:-1	6
10	./Images/茨城県近代美術館/4.jpg	97.5,52.5,60	0,0,-1	0,1,0	1,0,0	-9.48011	-25.5	0.2	2	WoodenWhite	-1:-1	9
12	./Images/茨城県近代美術館/画像1.png	97.5,52.5,60	0,0,-1	0,1,0	1,0,0	10.27834	-25.5	0.2	1	none(caption)	-1:-1	11
13	./Images/茨城県近代美術館/茨城県近代美術館.jpg	-57.5,52.5,0.5	-1,0,0	0,1,0	0,0,-1	-26.60217	-31.296	0.2	2	none(caption)	-1:-1	12
14	./Images/茨城県近代美術館/1.JPG	57.5,52.5,0.5	-1,0,0	0,1,0	0,0,-1	7.409403	-19.767	0.2	7	none(caption)	-1:-1	13
15	./Images/茨城県近代美術館/画像6.png	57.5,52.5,0.5	-1,0,0	0,1,0	0,0,-1	-7.244902	-47.89647	0.2	4	none(caption)	-1:-1	2
