id	next	previous	captioning	pos	angle	audio	launchAngle
1	2	-1		7.961914,8.999999,24.62029	-0.5552872,0,0.8316587		2.6E-06
2	3	1		-28.49019,9.132463,13.79829	-0.07618754,0,-0.9970936		-0.4500122
3	4	2		-38.66568,8.098312,47.97506	-0.9945574,0,-0.1041909		3.150013
4	5	3		-72.23032,8.179938,51.17917	-0.9999487,0,-0.01013303		2.850012
5	6	4		-36.45916,8.648019,65.37628	-0.08334008,0,0.9965212		1.200013
6	7	5		-45.71922,8.474745,96.29934	0.02128129,0,0.9997735		1.800014
7	8	6		23.90403,8.474745,80.83653	0.02128129,0,0.9997735		1.800014
8	9	7		20.29517,8.474745,99.55837	0.02128129,0,0.9997735		1.800014
9	10	8		54.73042,8.058012,65.16926	0.9965212,0,0.08333975		3.300014
10	11	9		75.458,8.346856,68.07004	0.9999416,0,-0.01081109		2.250013
11	12	10		41.94814,10.17562,55.83525	0.1638514,0,-0.986485		-4.199982
12	-1	11		8.512591,9.5681,0.3748473	0.3267145,0,0.9451231		-1.949982

