id	type	x	y	z	theta	gyokaku	range	spotAngle	intensity	color
1	spot	-60	103.5	43.25662	24.36469	85.16544	100	54.29786	7.821274	1,1,1,1
2	spot	-30	103.5	71.39539	39.4476	179.0979	200	28.76596	2.873759	1,1,1,1
3	spot	-30	103.5	120.9842	38.86747	181.6028	224	29.78724	3.100708	1,1,1,1
4	spot	-30	103.5	170.6409	40.60782	180.902	189	24.68086	2.919148	1,1,1,1
5	spot	0	103.5	194.6199	44.08848	230.4477	217	40	3.6	1,1,1,1
6	spot	0	103.5	235.5703	35.38681	268.0207	192	28.25531	2.556029	1,1,1,1
7	spot	30	103.5	247.0031	30.1658	284.3023	197	29.2766	3.46383	1,1,1,1
8	spot	30	103.5	243.7316	38.28737	0	192	32.34043	3.373051	1,1,1,1
9	spot	30	103.5	181.1911	38.28737	0	178	30.80851	3.6	1,1,1,1
10	spot	30	103.5	128.9178	38.28737	0	223	31.82978	3.6	1,1,1,1
11	spot	30	103.5	69.56824	38.28737	0	175	30.80851	3.6	1,1,1,1
