ID	data	wallCenter	wallRight	wallUp	wallFront	x	y	z	size	frameTitle	parent	uniqueCode
1	./Images/郡山市立美術館/1.jpg	-97.5,52.5,200	0,0,1	0,1,0	-1,0,0	-133.145	-25.5	0.2	1	Metal_Vertical2	-1:-1	0
2	./Images/郡山市立美術館/画像1.png	-97.5,52.5,200	0,0,1	0,1,0	-1,0,0	-118.4867	-25.5	0.2	1.5	none(caption)	-1:-1	1
3	./Images/郡山市立美術館/0.jpg	-97.5,52.5,200	0,0,1	0,1,0	-1,0,0	-82.1244	-25.5	0.2	2	MetalGold	-1:-1	2
4	./Images/郡山市立美術館/画像3.png	-97.5,52.5,200	0,0,1	0,1,0	-1,0,0	-61.98282	-25.5	0.2	1.5	none(caption)	-1:-1	3
6	./Images/郡山市立美術館/10.jpg	-97.5,52.5,200	0,0,1	0,1,0	-1,0,0	-32.58379	-25.5	0.2	1	Wooden_thin2	-1:-1	5
7	./Images/郡山市立美術館/画像4.png	-97.5,52.5,200	0,0,1	0,1,0	-1,0,0	-18.65734	-25.4685	0.2	1.5	none(caption)	-1:-1	6
8	./Images/郡山市立美術館/7.jpg	-49.78819,31.84,253.2955	0.7688416,0,0.6394393	0,1,0	-0.6394393,0,0.7688416	0.03313407	-6.225999	0.2	3	Wooden_thin	1:3	8
10	./Images/郡山市立美術館/画像5.png	-49.78819,31.84,253.2955	0.7688416,0,0.6394393	0,1,0	-0.6394393,0,0.7688416	10.18865	-15.109	0.2	1.5	none(caption)	1:3	10
11	./Images/郡山市立美術館/2.jpg	0,52.5,296.25	1,0,0	0,1,0	0,0,1	-4.86717	-25.5	0.2	1	Metal_Vertical2	-1:-1	11
12	./Images/郡山市立美術館/画像6.png	0,52.5,296.25	1,0,0	0,1,0	0,0,1	10.97956	-25.563	0.2	1.5	none(caption)	-1:-1	12
13	./Images/郡山市立美術館/8.jpg	0,52.5,296.25	1,0,0	0,1,0	0,0,1	38.30933	-25.5	0.2	1	Wooden	-1:-1	13
14	./Images/郡山市立美術館/画像7.png	0,52.5,296.25	1,0,0	0,1,0	0,0,1	52.43807	-25.5	0.2	1.5	none(caption)	-1:-1	14
16	./Images/郡山市立美術館/9.jpg	97.5,52.5,150	0,0,-1	0,1,0	1,0,0	-94.33437	-26.0355	0.2	2	Wooden_thin2	-1:-1	16
18	./Images/郡山市立美術館/11.jpg	97.5,52.5,150	0,0,-1	0,1,0	1,0,0	-34.27629	-25.9725	0.2	2	MetalGold	-1:-1	18
19	./Images/郡山市立美術館/画像9.png	97.5,52.5,150	0,0,-1	0,1,0	1,0,0	-14.21557	-26.31899	0.2	1.5	none(caption)	-1:-1	19
20	./Images/郡山市立美術館/3.jpg	97.5,52.5,150	0,0,-1	0,1,0	1,0,0	15.90117	-25.5	0.2	1	Metal_Vertical	-1:-1	20
21	./Images/郡山市立美術館/6.jpg	97.5,52.5,150	0,0,-1	0,1,0	1,0,0	77.77441	-25.5	0.2	1.5	WoodenBlack	-1:-1	21
22	./Images/郡山市立美術館/画像9.png	97.5,52.5,150	0,0,-1	0,1,0	1,0,0	97.38718	-25.5	0.2	1.5	none(caption)	-1:-1	22
23	./Images/郡山市立美術館/画像8.png	97.5,52.5,150	0,0,-1	0,1,0	1,0,0	35.56883	-25.5	0.2	1.5	none(caption)	-1:-1	23
24	./Images/郡山市立美術館/郡山市立美術館.jpg	-57.5,52.5,0.5	-1,0,0	0,1,0	0,0,-1	-27.75342	-25.5	0.2	1	none(caption)	-1:-1	24
26	./Images/郡山市立美術館/4.jpg	-57.5,52.5,0.5	-1,0,0	0,1,0	0,0,-1	9.991292	-25.4055	0.2	3	WoodenWhite	-1:-1	26
28	./Images/郡山市立美術館/画像8.png	97.5,52.5,150	0,0,-1	0,1,0	1,0,0	-73.58892	-26.2875	0.2	1.5	none(caption)	-1:-1	28
29	./Images/郡山市立美術館/画像12.png	-57.5,52.5,0.5	-1,0,0	0,1,0	0,0,-1	10.81019	-37.12352	0.2	3	none(caption)	-1:-1	8
