id	next	previous	captioning	pos	angle	audio	launchAngle
1	2	-1		-37.19564,7.505446,41.83839	-0.0680142,0,-0.9976845		5.55E+00
2	3	1		-29.88622,9.482211,11.97325	-0.02617719,0,-0.9996574		-1.650055
3	4	2		-58.75499,8.018096,32.71663	-0.143491,0,-0.9896516		3.449937
4	5	3		-53.10777,7.31812,62.42786	-0.994522,0,0.1045286		6.449937
5	6	4		-78.02112,7.824395,67.79494	-0.9976842,0,0.06801516		4.199935
6	7	5		-58.17546,7.824395,123.869	-0.9976842,0,0.06801516		4.199935
7	8	6		-80.69901,7.824395,116.7267	-0.9976842,0,0.06801516		4.199935
8	9	7		-71.58183,7.824395,172.2003	-0.9976842,0,0.06801516		4.199935
9	10	8		-84.61584,7.824395,167.0797	-0.9976842,0,0.06801516		4.199935
10	11	9		-45.80445,6.812172,198.3078	-0.4516564,0,0.8921919		10.19994
11	12	10		-34.90891,6.904773,236.6541	-0.6514367,0,0.7587031		9.149942
12	13	11		11.61833,7.978536,232.2821	-0.3164772,0,0.9486001		3.599949
13	14	12		-6.797069,7.505444,278.8113	0.04972112,0,0.9987631		5.54995
14	15	13		39.85235,7.505444,264.4768	0.04972112,0,0.9987631		5.54995
15	16	14		38.02271,8.058029,281.218	0.05756378,0,0.9983419		3.299949
16	17	15		46.20624,7.677496,246.6304	0.9987631,0,-0.04972124		4.79995
17	18	16		75.43429,7.978536,244.5107	0.9992291,0,-0.03925967		3.599949
18	19	17		60.38901,7.978536,183.7734	0.9992291,0,-0.03925967		3.599949
19	20	18		79.83486,7.607053,184.4681	0.9999965,0,0		5.099944
20	21	19		52.66232,7.607053,129.1021	0.9999965,0,0		5.099944
21	22	20		79.31458,7.607053,133.8482	0.9999965,0,0		5.099944
22	23	21		69.48677,7.607053,68.54073	0.9999965,0,0		5.099944
23	24	22		82.80004,7.572629,73.26511	0.9997807,0,-0.02094233		5.249943
24	-1	23		8.235411,7.440567,23.86755	-0.2283531,0,0.9735784		5.849944
