ID	data	wallCenter	wallRight	wallUp	wallFront	x	y	z	size	frameTitle	parent	uniqueCode
1	./Images/宮城県美術館/0.png	-97.5,30,40	0,0,1	0,1,0	-1,0,0	-14.87121	-2.9685	0.2	1	Metal_Vertical	-1:-1	0
2	./Images/宮城県美術館/1.jpg	0,30,79	1,0,0	0,1,0	0,0,1	-76.36974	-3	0.2	2	MetalGold	-1:-1	1
3	./Images/宮城県美術館/2.jpg	0,30,79	1,0,0	0,1,0	0,0,1	-32.1389	-3	0.2	1	Wooden_thin	-1:-1	2
4	./Images/宮城県美術館/3.png	0,30,79	1,0,0	0,1,0	0,0,1	12.16409	-3.567	0.2	2	Wooden_thin	-1:-1	3
5	./Images/宮城県美術館/5.jpg	97.5,30,40	0,0,-1	0,1,0	1,0,0	1.432006	-0.4800002	0.2	8	none(caption)	-1:-1	4
6	./Images/宮城県美術館/宮城県美術館.jpg	-57.5,30,0.5	-1,0,0	0,1,0	0,0,-1	-3.073409	-7.221	0.2	2	none(caption)	-1:-1	5
7	./Images/宮城県美術館/画像1.png	0,30,79	1,0,0	0,1,0	0,0,1	-70.34707	-11.3475	0.2	2	none(caption)	-1:-1	6
8	./Images/宮城県美術館/画像2.png	0,30,79	1,0,0	0,1,0	0,0,1	-21.0626	-3	0.2	1	none(caption)	-1:-1	7
9	./Images/宮城県美術館/画像3.png	-97.5,30,40	0,0,1	0,1,0	-1,0,0	5.208963	-3.630001	0.2	2	none(caption)	-1:-1	8
10	./Images/宮城県美術館/画像4.png	0,30,79	1,0,0	0,1,0	0,0,1	31.14666	-3.0945	0.2	1.4	none(caption)	-1:-1	9
