id	next	previous	captioning	pos	angle	audio	launchAngle
1	2	-1		-16.1714,6.836284,49.30706	-0.651437,0,-0.7587029		9.877506
2	3	1		-45.43098,7.132884,27.63019	-0.2283519,0,-0.9735788		7.477503
3	4	2		-51.97535,7.35228,26.39421	-0.9999691,0,0		6.277506
4	5	3		-81.30373,7.35228,23.95965	-0.9999691,0,0		6.277506
5	6	4		-81.16247,7.35228,41.94474	-0.9999691,0,0		6.277506
6	7	5		-60.76467,7.413702,49.37894	-0.3189581,0,0.9477688		5.977508
7	8	6		-77.47968,7.062206,60.27085	-0.03140951,0,0.9995066		7.92751
8	9	7		-28.48076,7.062206,49.14983	-0.03140951,0,0.9995066		7.92751
9	10	8		-29.12041,7.647287,57.79662	0,0,0.9999863		4.927512
10	11	9		18.23794,7.647287,46.05383	0,0,0.9999863		4.927512
11	12	10		11.53217,8.524277,64.64606	0.01047304,0,0.9999452		1.62751
12	13	11		30.18178,8.524277,64.45081	0.01047304,0,0.9999452		1.62751
13	-1	12		39.38064,8.567546,20.80801	0.9399912,0,0.3411988		1.477509
