ID	data	wallCenter	wallRight	wallUp	wallFront	x	y	z	size	frameTitle	parent	uniqueCode
1	./Images/osaka1/41a0d3cccc76b223ebb0ab4ada578bc3-300x218.jpg	-48.75,22.5,40	0,0,1	0,1,0	-1,0,0	-19.96401	4.6575	0.2	1	Metal	-1:-1	0
2	./Images/osaka1/画像1.png	-48.75,22.5,40	0,0,1	0,1,0	-1,0,0	-19.17313	-2.5245	0.2	2	none(caption)	-1:-1	1
3	./Images/osaka1/2ca8810cade443f2aec1afee93665c9e-300x154.jpg	-48.75,22.5,40	0,0,1	0,1,0	-1,0,0	7.158003	4.248	0.2	1.4	Wooden_thin2	-1:-1	2
5	./Images/osaka1/画像５.png	-48.75,22.5,40	0,0,1	0,1,0	-1,0,0	8.358057	-2.2725	0.2	2	none(caption)	-1:-1	4
6	./Images/osaka1/83d0bbfcf46ba64fd5eaf5525244c18a-300x215.jpg	0,22.5,79	1,0,0	0,1,0	0,0,1	-21.72827	4.5	0.2	1	MetalGold	-1:-1	5
7	./Images/osaka1/画像2.png	0,22.5,79	1,0,0	0,1,0	0,0,1	-20.8483	-2.0835	0.2	2	none(caption)	-1:-1	6
8	./Images/osaka1/549cf5f812fe3bf0b45f3e2083a9926b-300x315.jpg	0,22.5,79	1,0,0	0,1,0	0,0,1	15.96976	5.003998	0.2	1	Wooden_thin	-1:-1	7
9	./Images/osaka1/画像3.png	0,22.5,79	1,0,0	0,1,0	0,0,1	19.33186	-2.871	0.2	2	none(caption)	-1:-1	8
13	./Images/osaka1/c29f8a3f33b97f0e58e858e2633892bd-219x350.jpg	48.75,22.5,40	0,0,-1	0,1,0	1,0,0	-17.88871	4.153502	0.2	1.4	Wooden_thin	-1:-1	12
14	./Images/osaka1/ea270ec67082da33bd89d8456cf96c5f-226x350.jpg	48.75,22.5,40	0,0,-1	0,1,0	1,0,0	12.29271	4.027499	0.2	1.4	Wooden_thin	-1:-1	13
15	./Images/osaka1/画像６.png	48.75,22.5,40	0,0,-1	0,1,0	1,0,0	-0.146028	2.042997	0.2	2	none(caption)	-1:-1	14
16	./Images/osaka1/画像4.png	48.75,22.5,40	0,0,-1	0,1,0	1,0,0	30.11992	1.822499	0.2	2	none(caption)	-1:-1	15
