id	next	previous	captioning	pos	angle	audio	launchAngle
1	2	-1		-18.33728,7.107394,20.61146	-0.9990103,0,0.04448146		7.635027
2	3	1		-34.36598,7.107394,19.99088	-0.9990103,0,0.04448146		7.635027
3	4	2		-13.85807,7.107394,46.4102	-0.9990103,0,0.04448146		7.635027
4	5	3		-10.19845,7.645519,27.63409	-0.3705677,0,0.9288055		4.935025
5	6	4		-20.65073,7.828142,54.85811	0,0,0.9999966		4.185024
6	7	5		16.61449,7.828142,54.76091	0,0,0.9999966		4.185024
7	8	6		19.30577,6.8906,66.06665	-0.03665831,0,0.9993278		9.285028
8	9	7		15.05039,6.977496,44.07357	0.8120755,0,0.5835525		8.535025
9	10	8		28.68632,8.960234,62.57421	0.9986304,0,-0.05232155		0.1350245
10	11	9		40.3873,11.08041,68.57066	0.9998765,0,0.01571774		-9.014984
11	12	10		40.63839,11.08041,52.59811	0.9998765,0,0.01571774		-9.014984
12	13	11		41.29475,6.771828,65.69302	0.9996577,0,-0.02616596		10.93502
13	14	12		37.6167,6.771828,52.46238	0.9996577,0,-0.02616596		10.93502
14	15	13		23.11147,9.09274,25.93378	0.9999141,0,0.01310498		-0.3149719
15	16	14		37.21608,7.5421,15.81573	0.9999146,0,-0.01307273		5.385023
16	17	15		27.52158,7.5421,18.37719	0.392351,0,-0.9198155		5.385024
17	-1	16		33.68598,7.5421,9.940125	-0.01831211,0,-0.9998324		5.385024
