ID	data	wallCenter	wallRight	wallUp	wallFront	x	y	z	size	frameTitle	parent	uniqueCode
19	./Images/大阪市立美術館/Resized/3.jpg	-48.75,22.5,40	0,0,1	0,1,0	-1,0,0	14.21673	0.6570001	0.2	3.5	none(caption)	-1:-1	1
91	./Images/大阪市立美術館/Resized/0.jpg	0,22.5,79	1,0,0	0,1,0	0,0,1	-17.34676	2.925001	0.2	3	Metal	-1:-1	0
3	./Images/大阪市立美術館/Resized/1.jpg	48.75,22.5,40	0,0,-1	0,1,0	1,0,0	-17.46911	10.3905	0.2	3	Wooden_thin	-1:-1	2
4	./Images/大阪市立美術館/画像1.png	0,22.5,79	1,0,0	0,1,0	0,0,1	0.7653934	-7.627503	0.2	2	none(caption)	-1:-1	3
5	./Images/大阪市立美術館/画像2.png	48.75,22.5,40	0,0,-1	0,1,0	1,0,0	-6.123992	5.035499	0.2	2	none(caption)	-1:-1	4
8	./Images/大阪市立美術館/大阪市立美術館.jpg	-48.75,22.5,40	0,0,1	0,1,0	-1,0,0	-18.59549	0.9405004	0.2	1	Wooden_thin2	-1:-1	8
9	./Images/大阪市立美術館/Resized/2.jpg	0,22.5,79	1,0,0	0,1,0	0,0,1	20.97858	2.483997	0.2	1.5	Wooden_thin2	-1:-1	9
10	./Images/大阪市立美術館/画像3.png	0,22.5,79	1,0,0	0,1,0	0,0,1	25.69608	-4.887	0.2	2	none(caption)	-1:-1	10
11	./Images/大阪市立美術館/Resized/8.jpg	48.75,22.5,40	0,0,-1	0,1,0	1,0,0	26.39845	4.405502	0.2	1	Wooden_thin	-1:-1	11
12	./Images/大阪市立美術館/画像4.png	48.75,22.5,40	0,0,-1	0,1,0	1,0,0	26.63445	-2.429999	0.2	2	none(caption)	-1:-1	12
14	./Images/大阪市立美術館/Resized/9.jpg	48.75,22.5,40	0,0,-1	0,1,0	1,0,0	-21.74174	0.8144998	0.2	2	Wooden_thin	-1:-1	14
16	./Images/大阪市立美術館/画像5.png	48.75,22.5,40	0,0,-1	0,1,0	1,0,0	-6.121494	-3.249	0.2	2	none(caption)	-1:-1	16
17	./Images/大阪市立美術館/Resized/10.jpg	32.5,22.5,0.5	-1,0,0	0,1,0	0,0,-1	-0.8294864	4.248	0.2	1	Wooden	-1:-1	17
18	./Images/大阪市立美術館/画像7.png	32.5,22.5,0.5	-1,0,0	0,1,0	0,0,-1	5.462337	-0.09899987	0.2	2	none(caption)	-1:-1	18
