id	type	x	y	z	theta	gyokaku	range	spotAngle	intensity	color
1	spot	-60	58.5	24.50664	50.46972	189.1174	100	51.74469	3.6	1,1,1,1
2	spot	-60	58.5	77.93083	48.14927	191.6223	100	49.19149	3.6	1,1,1,1
3	spot	-60	58.5	132.2834	45.82882	190.3698	100	60.93616	3.6	1,1,1,1
4	spot	-60	58.5	148.2899	64.9725	283.0499	86	55.31913	2.692199	1,1,1,1
5	spot	30	58.5	157.8206	58.01116	290.5645	100	51.23404	3.6	1,1,1,1
6	spot	60	58.5	168.2384	51.04982	0	100	31.31915	3.6	1,1,1,1
7	spot	60	58.5	127.7604	51.62994	0	100	58.89362	3.6	1,1,1,1
8	spot	60	58.5	80.15626	52.79016	0	100	59.91488	3.6	1,1,1,1
9	spot	60	58.5	34.26625	49.8896	0	100	40	3.6	1,1,1,1
10	spot	60	58.5	45.31483	57.43106	88.92272	100	40	3.6	1,1,1,1
11	spot	-90	58.5	25.45794	42.92826	67.63137	100	27.23404	3.6	1,1,1,1
12	spot	-30	58.5	46.97122	56.27084	101.4471	100	49.19147	3.6	1,1,1,1
13	spot	0	58.5	53.37582	45.49114	280.545	100	67.32999	5.167866	1,1,1,1
