ID	data	wallCenter	wallRight	wallUp	wallFront	x	y	z	size	frameTitle	parent	uniqueCode
1	./Images/三の丸尚蔵館/0.jpg	-97.5,45,100	0,0,1	0,1,0	-1,0,0	-69.08081	-18	0.2	4	Wooden_thin	-1:-1	0
3	./Images/三の丸尚蔵館/1.JPG	-90.60495,31.84,85.03124	0,0,1	0,1,0	-1,0,0	8.315473	-0.8394977	0.2	0.8	Wooden_thin	1:3	3
4	./Images/三の丸尚蔵館/13.JPG	-97.5,45,100	0,0,1	0,1,0	-1,0,0	41.84695	-18.34649	0.2	5	Wooden_thin	-1:-1	4
5	./Images/三の丸尚蔵館/14.jpg	0,45,197.5	1,0,0	0,1,0	0,0,1	-46.88128	-14.283	0.2	1.6	Metal_Vertical2	-1:-1	5
6	./Images/三の丸尚蔵館/15.JPG	-90.60495,31.84,85.03124	0,0,1	0,1,0	-1,0,0	-5.691951	-4.619497	0.2	1.5	Wooden_thin2	1:3	6
9	./Images/三の丸尚蔵館/3.jpg	0,45,197.5	1,0,0	0,1,0	0,0,1	45.71803	-14.75551	0.2	1.5	Metal_Vertical2	-1:-1	9
10	./Images/三の丸尚蔵館/4.jpg	97.5,45,100	0,0,-1	0,1,0	1,0,0	-69.05569	-18.5985	0.2	1	MetalGold	-1:-1	10
12	./Images/三の丸尚蔵館/5.jpg	97.5,45,100	0,0,-1	0,1,0	1,0,0	-28.22213	-18.315	0.2	3	WoodenBlack	-1:-1	12
13	./Images/三の丸尚蔵館/6.JPG	97.5,45,100	0,0,-1	0,1,0	1,0,0	19.40081	-18.378	0.2	3.2	WoodenBlack	-1:-1	13
14	./Images/三の丸尚蔵館/7.JPG	97.5,45,100	0,0,-1	0,1,0	1,0,0	65.83513	-18	0.2	2	Wooden_thin2	-1:-1	14
15	./Images/三の丸尚蔵館/9.jpg	57.5,45,0.5	-1,0,0	0,1,0	0,0,-1	-2.591799	-18	0.2	3	Wooden_thin2	-1:-1	15
16	./Images/三の丸尚蔵館/2.JPG	12.97751,23.88,92.56111	0.9077762,0,0.4194549	0,1,0	-0.4194549,0,0.9077762	0.1494155	-0.4080008	0.2	6	Wooden_thin2	2:3	17
17	./Images/三の丸尚蔵館/三の丸尚蔵館.jpg	-57.5,30,0.5	-1,0,0	0,1,0	0,0,-1	-17.43835	-3.0945	0.2	5	none(caption)	-1:-1	18
18	./Images/三の丸尚蔵館/三の丸尚蔵館_.jpg	-57.5,30,0.5	-1,0,0	0,1,0	0,0,-1	21.33484	-3	0.2	1	Wooden_thin2	-1:-1	19
19	./Images/三の丸尚蔵館/画像5.png	-97.5,30,100	0,0,1	0,1,0	-1,0,0	-54.71653	-10.371	0.2	1	none(caption)	-1:-1	20
20	./Images/三の丸尚蔵館/画像12.png	-97.5,30,100	0,0,1	0,1,0	-1,0,0	-15.98216	-3	0.2	1	none(caption)	-1:-1	21
22	./Images/三の丸尚蔵館/画像12.png	-97.5,30,100	0,0,1	0,1,0	-1,0,0	-21.48087	-3	0.2	1	none(caption)	-1:-1	23
23	./Images/三の丸尚蔵館/画像12.png	-90.60495,31.84,85.03124	0,0,1	0,1,0	-1,0,0	-2.410674	-10.384	0.2	1	none(caption)	1:3	24
24	./Images/三の丸尚蔵館/画像13.png	-90.60495,31.84,85.03124	0,0,1	0,1,0	-1,0,0	11.45138	-7.1395	0.2	1.4	none(caption)	1:3	25
25	./Images/三の丸尚蔵館/画像4.png	-97.5,30,100	0,0,1	0,1,0	-1,0,0	60.67378	-10.0245	0.2	1.5	none(caption)	-1:-1	26
26	./Images/三の丸尚蔵館/画像9.png	0,30,197.5	1,0,0	0,1,0	0,0,1	-24.64525	-3	0.2	2	none(caption)	-1:-1	27
27	./Images/三の丸尚蔵館/画像4.png	0,30,197.5	1,0,0	0,1,0	0,0,1	64.7187	-4.386001	0.2	1.5	none(caption)	-1:-1	28
28	./Images/三の丸尚蔵館/画像11.png	97.5,30,100	0,0,-1	0,1,0	1,0,0	-65.76391	-9.866999	0.2	1	none(caption)	-1:-1	29
29	./Images/三の丸尚蔵館/画像14.png	97.5,30,100	0,0,-1	0,1,0	1,0,0	-17.53947	-14.9385	0.2	2	none(caption)	-1:-1	30
30	./Images/三の丸尚蔵館/画像15.png	97.5,30,100	0,0,-1	0,1,0	1,0,0	29.874	-14.907	0.2	2	none(caption)	-1:-1	31
31	./Images/三の丸尚蔵館/画像16.png	97.5,30,100	0,0,-1	0,1,0	1,0,0	69.89088	-10.52849	0.2	2	none(caption)	-1:-1	32
32	./Images/三の丸尚蔵館/画像4.png	57.5,30,0.5	-1,0,0	0,1,0	0,0,-1	5.238513	-10.0875	0.2	1.2	none(caption)	-1:-1	33
33	./Images/三の丸尚蔵館/画像1.png	12.97751,23.88,92.56111	0.9077762,0,0.4194549	0,1,0	-0.4194549,0,0.9077762	16.5748	-12.063	0.2	2	none(caption)	2:3	34
