id	next	previous	captioning	pos	angle	audio	launchAngle
1	2	-1		-0.9844952,6.822904,8.284546	-0.08691329,0,0.9962159		10.04999
2	3	1		0.5801458,7.154099,46.42795	-0.8467871,0,-0.5319322		7.34999
3	4	2		-32.39465,7.978525,25.55383	-0.2047332,0,-0.9788178		3.59999
4	5	3		-75.9175,8.304715,21.96081	-0.01769459,0,-0.9998436		2.399989
5	6	4		-78.09682,8.304715,12.00663	-0.01769459,0,-0.9998436		2.399989
6	7	5		-49.06413,7.642003,35.10612	-0.9913621,0,-0.1311531		4.949989
7	8	6		-70.2616,8.05802,26.53974	-0.9995262,0,0.03077924		3.299988
8	9	7		-50.67126,8.05802,78.5759	-0.9995262,0,0.03077924		3.299988
9	10	8		-76.02276,8.05802,77.35934	-0.9995262,0,0.03077924		3.299988
10	11	9		-77.44488,10.39296,92.25229	-0.999998,0,0		-5.100006
11	12	10		-50.42394,6.874188,118.9972	-0.9918638,0,0.127304		9.449994
12	13	11		-83.45055,7.93936,123.2361	-0.9996035,0,0.02816337		3.749992
13	14	12		-82.98194,7.93936,139.8713	-0.9996035,0,0.02816337		3.749992
14	15	13		-82.53245,7.93936,155.8285	-0.9996035,0,0.02816337		3.749992
15	16	14		-45.66417,7.505435,134.4999	-0.2644823,0,0.9643905		5.549993
16	17	15		-52.30652,9.395543,169.0233	0.02031156,0,0.9997937		-1.350006
17	18	16		31.10971,9.395543,142.6715	0.02031156,0,0.9997937		-1.350006
18	19	17		40.29995,9.395543,169.1342	0.02031156,0,0.9997937		-1.350006
19	20	18		34.82613,7.900608,142.5807	0.7684363,0,0.6399263		3.899982
20	21	19		65.63216,8.018085,175.3067	0.9940304,0,-0.1091033		3.449981
21	22	20		85.13376,7.749972,169.7928	0.9991491,0,-0.0412426		4.499982
22	23	21		66.17979,7.749972,130.5717	0.9991491,0,-0.0412426		4.499982
23	24	22		78.82477,7.749972,130.0496	0.9991491,0,-0.0412426		4.499982
24	25	23		63.61737,7.749972,84.67542	0.9991491,0,-0.0412426		4.499982
25	26	24		78.25929,7.749972,84.07108	0.9991491,0,-0.0412426		4.499982
26	27	25		57.92911,7.749972,43.57799	0.9991491,0,-0.0412426		4.499982
27	28	26		80.31277,7.749972,36.65244	0.9991491,0,-0.0412426		4.499982
28	29	27		48.37059,7.978527,37.97099	0.3589589,0,-0.9333535		3.599982
29	30	28		68.76151,7.900608,13.44987	0.05819748,0,-0.9983052		3.899982
30	31	29		54.79358,7.900608,12.63559	0.05819748,0,-0.9983052		3.899982
31	32	30		61.54379,8.098321,20.90991	-0.03600489,0,-0.9993517		3.149981
32	33	31		-0.1744337,6.785041,37.63271	0,0,0.9999863		10.64998
33	34	32		2.267243,6.75,62.96666	-0.2104717,0,0.9775999		12.89998
34	35	33		37.73521,6.765597,76.08298	-0.4115143,0,0.9114034		11.09998
35	-1	34		35.50506,6.765597,42.20107	-0.4115143,0,0.9114034		11.09998
