ID	data	wallCenter	wallRight	wallUp	wallFront	x	y	z	size	frameTitle	parent	uniqueCode
1	./Images/塩竈市杉村惇美術館/about-public-hall.jpg	0,45,197.5	1,0,0	0,1,0	0,0,1	0.791989	-18.063	0.2	8	Wooden_thin	-1:-1	0
2	./Images/塩竈市杉村惇美術館/スクリーンショット 2023-09-20 175342.png	0,45,197.5	1,0,0	0,1,0	0,0,1	-71.0063	-18	0.2	2	WoodenWhite	-1:-1	1
3	./Images/塩竈市杉村惇美術館/スクリーンショット 2023-09-20 175405.png	0,45,197.5	1,0,0	0,1,0	0,0,1	65.22776	-18.756	0.2	1.2	Metal	-1:-1	2
4	./Images/塩竈市杉村惇美術館/スクリーンショット 2023-09-20 175512.png	97.5,45,100	0,0,-1	0,1,0	1,0,0	-66.59934	-17.9685	0.2	2	Metal	-1:-1	3
5	./Images/塩竈市杉村惇美術館/スクリーンショット 2023-09-20 175527.png	97.5,45,100	0,0,-1	0,1,0	1,0,0	-2.034066	-18.063	0.2	1.4	Metal_Vertical	-1:-1	4
6	./Images/塩竈市杉村惇美術館/スクリーンショット 2023-09-20 175546.png	97.5,45,100	0,0,-1	0,1,0	1,0,0	52.10859	-17.622	0.2	1.5	MetalGold	-1:-1	5
7	./Images/塩竈市杉村惇美術館/スクリーンショット 2023-09-20 175915.png	-97.5,45,100	0,0,1	0,1,0	-1,0,0	-58.41595	-17.4645	0.2	2	Metal	-1:-1	6
8	./Images/塩竈市杉村惇美術館/スクリーンショット 2023-09-20 175926.png	-97.5,45,100	0,0,1	0,1,0	-1,0,0	14.112	-18	0.2	2	Wooden_thin2	-1:-1	7
9	./Images/塩竈市杉村惇美術館/wrk_0_auth.png	0,45,197.5	1,0,0	0,1,0	0,0,1	-65.44623	-32.616	0.2	1	none(caption)	-1:-1	8
10	./Images/塩竈市杉村惇美術館/wrk_0_desc.png	0,45,197.5	1,0,0	0,1,0	0,0,1	-54.13686	-23.10301	0.2	1	none(caption)	-1:-1	9
11	./Images/塩竈市杉村惇美術館/wrk_1_auth.png	0,45,197.5	1,0,0	0,1,0	0,0,1	80.86122	-18.8505	0.2	1	none(caption)	-1:-1	10
12	./Images/塩竈市杉村惇美術館/wrk_2_auth.png	97.5,45,100	0,0,-1	0,1,0	1,0,0	-46.65077	-18	0.2	1	none(caption)	-1:-1	11
13	./Images/塩竈市杉村惇美術館/wrk_2_desc.png	97.5,45,100	0,0,-1	0,1,0	1,0,0	-35.54181	-18	0.2	1	none(caption)	-1:-1	12
14	./Images/塩竈市杉村惇美術館/wrk_3_auth.png	97.5,45,100	0,0,-1	0,1,0	1,0,0	19.30726	-18	0.2	1	none(caption)	-1:-1	13
15	./Images/塩竈市杉村惇美術館/wrk_3_desc.png	97.5,45,100	0,0,-1	0,1,0	1,0,0	30.28734	-24.01649	0.2	1	none(caption)	-1:-1	14
16	./Images/塩竈市杉村惇美術館/wrk_4_auth.png	97.5,45,100	0,0,-1	0,1,0	1,0,0	70.48521	-18	0.2	1	none(caption)	-1:-1	15
17	./Images/塩竈市杉村惇美術館/wrk_4_desc.png	97.5,45,100	0,0,-1	0,1,0	1,0,0	81.39271	-18.378	0.2	1	none(caption)	-1:-1	16
18	./Images/塩竈市杉村惇美術館/wrk_5_auth.png	-97.5,45,100	0,0,1	0,1,0	-1,0,0	-39.02006	-18	0.2	1	none(caption)	-1:-1	17
19	./Images/塩竈市杉村惇美術館/wrk_5_desc.png	-97.5,45,100	0,0,1	0,1,0	-1,0,0	-27.97468	-18.315	0.2	1	none(caption)	-1:-1	18
20	./Images/塩竈市杉村惇美術館/wrk_6_auth.png	-97.5,45,100	0,0,1	0,1,0	-1,0,0	32.32468	-18	0.2	1	none(caption)	-1:-1	19
21	./Images/塩竈市杉村惇美術館/wrk_6_desc.png	-97.5,45,100	0,0,1	0,1,0	-1,0,0	43.79361	-18.063	0.2	1	none(caption)	-1:-1	20
22	./Images/塩竈市杉村惇美術館/塩竈市杉村惇美術館.jpg	-57.5,45,0.5	-1,0,0	0,1,0	0,0,-1	-8.479858	-18	0.2	2	none(caption)	-1:-1	21
