id	next	previous	captioning	pos	angle	audio	launchAngle
1	2	-1		-5.813791,7.179713,6.167816	-0.712633,0,0.7015233		7.20E+00
2	3	1		-23.37157,9.044174,31.80338	-0.7343144,0,-0.6787955		-0.1499939
3	4	2		-58.21088,8.058017,48.61897	-0.9966989,0,-0.08106948		3.299997
4	5	3		-71.2343,8.648024,39.56324	-0.9999596,0,0		1.199996
5	6	4		-71.45404,8.648024,67.54008	-0.9999596,0,0		1.199996
6	7	5		-61.2355,8.648024,123.5769	-0.9999596,0,0		1.199996
7	8	6		-76.48109,8.648024,114.1376	-0.9999596,0,0		1.199996
8	9	7		-76.64832,8.648024,135.4299	-0.9999596,0,0		1.199996
9	10	8		-49.89076,7.862273,144.8553	-0.2537571,0,0.967258		4.049996
10	11	9		-74.84975,7.93936,169.8301	0,0,0.9999869		3.749993
11	12	10		-59.5223,6.75,173.1814	0,0,0.9999767		13.05
12	13	11		-18.14813,8.138965,128.2646	0.03402545,0,0.9994113		2.999996
13	14	12		49.3833,8.262834,126.7361	0.1590166,0,0.9872661		2.549995
14	15	13		68.87348,8.779463,171.059	-0.02879531,0,0.9995757		0.7499958
15	16	14		64.5496,8.691724,180.3202	0,0,0.9999903		1.049996
16	17	15		79.20004,8.691724,180.3202	0,0,0.9999903		1.049996
17	18	16		48.37567,7.978524,154.4218	0.9964831,0,0.08367898		3.599995
18	19	17		72.06832,8.304714,168.3812	0.999987,0,0		2.399994
19	20	18		78.79869,8.304714,142.4184	0.999987,0,0		2.399994
20	21	19		44.29435,8.304714,91.03176	0.999987,0,0		2.399994
21	22	20		68.89714,8.304714,107.0847	0.999987,0,0		2.399994
22	23	21		72.96672,6.756936,76.85101	0.999987,0,0		11.4
23	24	22		48.71701,7.900602,39.89567	0.9999905,0,0		3.900003
24	25	23		80.69656,8.911665,49.8358	0.9998226,0,-0.01832159		0.3000036
25	26	24		79.62018,8.179941,26.67603	0.9995756,0,0.0287972		2.850004
26	-1	25		7.97166,8.77946,16.02378	0.467922,0,0.8837588		0.7500042
