id	next	previous	captioning	pos	angle	audio	launchAngle
1	2	-1		0.02913153,8.058018,-7.846111	0.2915376,0,0.9565594		3.299995
2	3	1		3.719825,8.304714,13.3263	0.8226408,0,0.5685614		2.399994
3	4	2		24.13607,10.86404,39.99427	0.9999867,0,0		-7.458832
4	5	3		23.48828,6.853234,40.70667	0.9999762,0,0		9.676888
5	6	4		-2.695728,7.116708,30.10947	0.6341154,0,0.7732384		7.576891
6	7	5		-12.73594,6.788928,39.16663	-0.1529099,0,0.9882401		10.57689
7	8	6		-25.37626,6.806993,55.41053	-0.1632502,0,0.9865847		10.27689
8	9	7		-23.81287,6.75,58.33022	0.5948843,0,0.8038113		20.7769
9	10	8		-10.03052,6.75,56.24503	-0.3769616,0,0.9262289		20.02689
10	11	9		-2.962311,6.75,64.02956	-0.9482992,0,0.3173775		19.57689
11	12	10		9.483658,6.758729,35.52308	0.1573722,0,0.9875394		11.3269
12	13	11		17.30494,6.75,51.09226	-0.03569479,0,0.9993628		21.82689
13	14	12		28.40334,6.89662,59.74177	0.05851196,0,0.9982867		9.226889
14	15	13		31.93957,6.75,62.78375	-0.8917627,0,0.4525033		17.32689
15	16	14		37.1883,6.75,69.87017	-0.9983961,0,-0.05661571		15.37689
16	17	15		1.836398,6.75,62.09393	0.901866,0,0.4320159		17.02689
17	18	16		-6.306806,7.521597,27.93866	0.1340629,0,0.9909728		5.476891
18	-1	17		-5.737693,7.958396,-4.683084	0.327291,0,0.9449236		3.676892

