id	next	previous	captioning	pos	angle	audio	launchAngle
1	2	-1		33.2712,9.044174,37.08056	-0.9823232,0,0.1871929		-0.1499939
2	3	1		-29.58839,10.0994,10.79168	-0.05998159,0,-0.9981996		-3.899994
3	4	2		-30.85201,7.289086,35.96107	-0.9792621,0,0.2025975		6.600008
4	5	3		-11.91148,8.779459,28.67399	-0.488788,0,0.8724026		0.7500079
5	6	4		5.60121,8.517802,29.66448	-0.2766593,0,0.9609681		1.650008
6	7	5		17.77076,9.308273,33.16806	0,0,0.9999872		-1.049988
7	8	6		61.29449,9.08833,17.88757	-0.7109381,0,0.7032546		-0.2999878
8	9	7		24.16373,9.395552,34.41231	0.889724,0,0.4564989		-1.350037
9	10	8		47.39503,8.691731,64.92747	0.9999431,0,0.01066846		1.049971
10	-1	9		53.40871,8.604467,64.25756	1,0,0		1.349971
